date,open,high,low,close,volume,rsi,macd,macd_signal,macd_hist,stochrsi_K,stochrsi_D,signal
2024-08-09 11:34:00,60383.86,60420.56,60383.86,60415.59,0.00869,54.010838008242544,10.79209974357218,10.465259401211267,0.32684034236091364,66.61006245862245,57.96727131562185,0
2024-08-09 11:35:00,60409.72,60413.11,60258.33,60259.16,0.05721,43.039179953668295,-0.44826050081610447,8.282555420805792,-8.730815921621897,44.91024047571713,57.97746212963299,Close Trade
2024-08-09 11:36:00,60251.9,60251.9,60163.86,60191.45,0.12294,39.316281144244485,-14.65106968942564,3.6958303987595063,-18.346900088185144,22.94393114916574,44.82141136116844,0
2024-08-09 11:37:00,60165.46,60190.91,60077.94,60082.16,0.01851,34.17740012584382,-34.32995358717744,-3.9093263984278837,-30.42062718874956,0.0,22.61805720829429,0
2024-08-09 11:38:00,60070.86,60070.86,60001.83,60030.52,0.15621,32.04602087865709,-53.47608822402253,-13.822678763546815,-39.653409460475714,0.0,7.647977049721913,0
2024-08-09 11:39:00,60062.57,60064.78,60062.57,60064.78,0.00366,34.944636486067566,-65.13421549535269,-24.084986109907994,-41.0492293854447,4.269038362290342,1.423012787430114,Open Trade
2024-08-09 11:40:00,60099.67,60101.32,60046.46,60049.76,0.01478,34.25477155734872,-74.7239822692427,-34.21278534177493,-40.511196927467765,7.522053821105574,3.930364061131972,0
2024-08-09 11:41:00,60078.83,60130.19,60078.83,60130.19,0.09518,40.974559887821414,-74.96970857620181,-42.36416998866031,-32.6055385875415,21.071812292405042,10.954301491933654,0
2024-08-09 11:42:00,60065.48,60068.18,60022.63,60068.18,0.02652,37.76933137698043,-79.25454020044708,-49.74224403101766,-29.51229616942942,25.488346656955734,18.02740425682212,0
2024-08-09 11:43:00,60054.21,60054.21,59996.25,60003.18,0.01737,34.70475797175148,-86.89360155618488,-57.17251553605111,-29.721086020133768,26.270173338958518,24.276777429439765,0
